#NAME,location,region,student
BE-01,BE,less,1
BE-02,BE,less,2
BE-03,BE,less,3
BE-04,BE,less,4
BE-05,BE,less,5
BE-06,BE,less,6
BE-07,BE,less,7
BE-08,BE,less,8
BE-09,BE,less,9
BE-10,BE,less,10
BE-11,BE,less,11
BE-12,BE,less,12
BE-13,BE,less,13
BE-14,BE,less,14
BE-15,BE,less,15
CA-01,CA,more,1
CA-02,CA,more,2
CA-03,CA,more,3
CA-04,CA,more,4
CA-05,CA,more,5
CA-06,CA,more,6
CA-07,CA,more,7
CA-08,CA,more,8
CA-09,CA,more,9
CA-10,CA,more,10
CA-11,CA,more,11
CA-12,CA,more,12
CA-13,CA,more,13
CA-14,CA,more,14
CA-15,CA,more,15
EA-01,EA,less,1
EA-02,EA,less,2
EA-03,EA,less,3
EA-04,EA,less,4
EA-05,EA,less,5
EA-06,EA,less,6
EA-07,EA,less,7
EA-08,EA,less,8
EA-09,EA,less,9
EA-10,EA,less,10
EA-11,EA,less,11
EA-12,EA,less,12
EA-13,EA,less,13
EA-14,EA,less,14
EA-15,EA,less,15
FA-01,FA,more,1
FA-02,FA,more,2
FA-03,FA,more,3
FA-04,FA,more,4
FA-05,FA,more,5
FA-06,FA,more,6
FA-07,FA,more,7
FA-08,FA,more,8
FA-09,FA,more,9
FA-10,FA,more,10
FA-11,FA,more,11
FA-12,FA,more,12
FA-13,FA,more,13
FA-14,FA,more,14
FA-15,FA,more,15
TO-01,TO,less,1
TO-02,TO,less,2
TO-03,TO,less,3
TO-04,TO,less,4
TO-05,TO,less,5
TO-06,TO,less,6
TO-07,TO,less,7
TO-08,TO,less,8
TO-09,TO,less,9
TO-10,TO,less,10
TO-11,TO,less,11
TO-12,TO,less,12
TO-13,TO,less,13
TO-14,TO,less,14
TO-15,TO,less,15
