#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus
ASV9040,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV9229,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV5371,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia
ASV1377,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia
ASV3279,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia
ASV1031,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia
ASV4659,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia
ASV4744,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia
ASV16,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia
ASV545,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV525,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV8132,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV2148,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV3206,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV3180,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV3919,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
ASV6605,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV6060,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV5001,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV6873,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV5637,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV4305,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV7061,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV1183,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV3775,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV3064,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV2092,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV6733,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV7826,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV466,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV7491,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV1608,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV8545,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV5123,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV1285,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV5691,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV1214,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV5300,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV886,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV5754,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV266,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV6625,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
ASV4424,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
